from|to|is_spam|confidence
stephen|source@collab.sakaiproject.org|False|0.8475
louis@media|source@collab.sakaiproject.org|False|0.6178
zqian@umich|source@collab.sakaiproject.org|False|0.6961
rjlowe@iupui|source@collab.sakaiproject.org|False|0.7565
zqian@umich|source@collab.sakaiproject.org|False|0.7626
rjlowe@iupui|source@collab.sakaiproject.org|False|0.7556
cwen@iupui|source@collab.sakaiproject.org|False|0.7002
cwen@iupui|source@collab.sakaiproject.org|False|0.7615
gsilver@umich|source@collab.sakaiproject.org|False|0.7601
gsilver@umich|source@collab.sakaiproject.org|False|0.7605
zqian@umich|source@collab.sakaiproject.org|False|0.6959
gsilver@umich|source@collab.sakaiproject.org|False|0.7606
wagnermr@iupui|source@collab.sakaiproject.org|False|0.7559
zqian@umich|source@collab.sakaiproject.org|False|0.7605
antranig@caret|source@collab.sakaiproject.org|False|0.6932
gopal|source@collab.sakaiproject.org|False|0.7558
david|source@collab.sakaiproject.org|False|0.6526
david|source@collab.sakaiproject.org|False|0.6948
david|source@collab.sakaiproject.org|False|0.6528
david|source@collab.sakaiproject.org|False|0.7002
stephen|source@collab.sakaiproject.org|False|0.7554
louis@media|source@collab.sakaiproject.org|False|0.6956
louis@media|source@collab.sakaiproject.org|False|0.6959
ray@media|source@collab.sakaiproject.org|False|0.7556
cwen@iupui|source@collab.sakaiproject.org|False|0.9846
cwen@iupui|source@collab.sakaiproject.org|False|0.8509
cwen@iupui|source@collab.sakaiproject.org|False|0.9907
